ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
204521_at,0.0798,0.0000047,5.649838,3.80559,1.1413904,FAM216A,family with sequence similarity 216 member A
203889_at,0.0798,0.0000143,5.241782,2.8795,2.2425558,SCG5,secretogranin V
219659_at,0.0798,0.0000177,5.163985,2.70148,1.6173608,ATP8A2,ATPase phospholipid transporting 8A2
205499_at,0.0798,0.0000177,5.163524,2.70043,1.3650908,SRPX2,"sushi repeat containing protein, X-linked 2"
215209_at,0.0798,0.0000202,5.115505,2.59036,0.8956729,SEC24D,"SEC24 homolog D, COPII coat complex component"
209789_at,0.0798,0.0000215,5.092479,2.53754,1.18734,CORO2B,coronin 2B
219791_s_at,0.1098,0.0000345,4.919383,2.13964,3.1751096,HAND2-AS1,HAND2 antisense RNA 1 (head to head)
221877_at,0.1241,0.0000543,4.753467,1.75727,0.7989963,IRGQ,immunity related GTPase Q
212822_at,0.1241,0.0000546,4.751026,1.75164,1.0050696,HEG1,heart development protein with EGF like domains 1
221937_at,0.1241,0.0000686,4.667943,1.55999,0.6282354,SYNRG,"synergin, gamma"
215839_at,0.1241,0.0000727,-4.646556,1.51064,-0.7220258,LILRA5,leukocyte immunoglobulin like receptor A5
205117_at,0.1241,0.0000796,4.613509,1.4344,1.4672383,FGF1,fibroblast growth factor 1
62987_r_at,0.1241,0.0000882,-4.575757,1.3473,-0.6362679,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4
205168_at,0.1241,0.0000988,4.534154,1.25134,1.7997471,DDR2,discoidin domain receptor tyrosine kinase 2
213362_at,0.1241,0.0001055,4.510085,1.19583,0.8667842,PTPRD,"protein tyrosine phosphatase, receptor type D"
201143_s_at,0.1241,0.0001068,4.505417,1.18506,0.7332946,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
204742_s_at,0.1241,0.0001076,4.502649,1.17868,1.1208263,PDS5B,PDS5 cohesin associated factor B
215943_at,0.1241,0.0001079,4.501722,1.17654,1.1201325,KIAA1661,KIAA1661 protein
211920_at,0.1241,0.0001137,-4.482484,1.13219,-1.5057279,CFB,complement factor B
215743_at,0.1241,0.0001207,4.460654,1.08186,0.82271,NMT2,N-myristoyltransferase 2
205493_s_at,0.1241,0.0001283,4.438051,1.02977,1.3891283,DPYSL4,dihydropyrimidinase like 4
208606_s_at,0.1241,0.0001303,4.432524,1.01703,1.6454542,WNT4,Wnt family member 4
215164_at,0.1241,0.0001306,4.431772,1.0153,1.4084,,
213639_s_at,0.1241,0.0001388,4.409363,0.96367,0.8846263,ZNF500,zinc finger protein 500
205006_s_at,0.1241,0.0001392,4.408236,0.96108,0.9187829,NMT2,N-myristoyltransferase 2
58780_s_at,0.1263,0.0001513,4.377552,0.89041,1.1987429,ARHGEF40,Rho guanine nucleotide exchange factor 40
201321_s_at,0.1263,0.000153,4.373403,0.88086,1.0137408,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
212122_at,0.1264,0.000171,4.332423,0.78655,0.5618429,RHOQ,ras homolog family member Q
215613_at,0.1264,0.0001719,4.330618,0.78239,0.9503354,ADAM12,ADAM metallopeptidase domain 12
205853_at,0.1264,0.0001858,-4.301783,0.71608,-0.8236692,ZBTB7B,zinc finger and BTB domain containing 7B
216614_at,0.1264,0.0001914,4.290982,0.69125,0.7782358,,
203440_at,0.1264,0.000196,4.282114,0.67086,1.0853433,CDH2,cadherin 2
203497_at,0.1264,0.0001977,4.279025,0.66376,0.8591942,MED1,mediator complex subunit 1
215629_s_at,0.1264,0.0002054,4.264881,0.63127,0.6045996,MIR15A///DLEU2L///DLEU2,microRNA 15a///deleted in lymphocytic leukemia 2-like///deleted in lymphocytic leukemia 2 (non-protein coding)
212925_at,0.1264,0.0002186,-4.241917,0.57853,-1.2341529,MISP,mitotic spindle positioning
222347_at,0.1264,0.0002273,4.22743,0.54527,0.7265975,,
215283_at,0.1264,0.0002279,4.226529,0.5432,0.8056725,LINC00667,long intergenic non-protein coding RNA 667
205347_s_at,0.1264,0.0002331,4.218118,0.5239,2.3457117,TMSB15B///TMSB15A,thymosin beta 15B///thymosin beta 15a
216071_x_at,0.1264,0.0002365,4.212759,0.5116,0.8586204,MED12,mediator complex subunit 12
202787_s_at,0.1264,0.0002413,-4.205397,0.49472,-0.951895,MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3
221612_at,0.1264,0.0002413,-4.205307,0.49451,-0.5144642,LRTM1,leucine rich repeats and transmembrane domains 1
215608_at,0.1264,0.0002445,4.200463,0.4834,1.2796754,,
207449_s_at,0.1264,0.0002499,-4.192361,0.46482,-0.8372863,POFUT2,protein O-fucosyltransferase 2
209538_at,0.1264,0.0002543,4.185931,0.45008,0.8932321,ZNF32,zinc finger protein 32
205586_x_at,0.1264,0.0002553,-4.184445,0.44667,-0.7997742,VGF,VGF nerve growth factor inducible
205564_at,0.1277,0.0002636,4.17266,0.41966,2.0571775,PAGE4,PAGE family member 4
202368_s_at,0.1286,0.0002859,4.142538,0.35066,1.0279046,TRAM2,translocation associated membrane protein 2
