Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,,,,,,,,
fenofibrate TTD 00008002,Feb-13,1.75E-05,0.008098833,0,0,454.0681818,4973.589533,JUN;ESR1,,,,,,,,
cinnarizine CTD 00005673,Feb-14,2.04E-05,0.008098833,0,0,416.2083333,4494.847104,JUN;ESR1,,,,,,,,
cinnarizine TTD 00007193,Feb-14,2.04E-05,0.008098833,0,0,416.2083333,4494.847104,JUN;ESR1,,,,,,,,
propanil CTD 00004257,Feb-15,2.35E-05,0.008098833,0,0,384.1730769,4094.008378,JUN;ESR1,,,,,,,,
fenthion CTD 00005965,Feb-18,3.43E-05,0.008392041,0,0,312.09375,3208.634563,JUN;ESR1,,,,,,,,
clindamycin HL60 DOWN,6/1626,4.51E-05,0.008392041,0,0,17.00925926,170.2000146,UBE2I;RPL37A;MRPL16;MRPL17;RPL26L1;MRPL22,,,,,,,,
chloramphenicol CTD 00005627,Feb-22,5.17E-05,0.008392041,0,0,249.625,2463.818516,JUN;ESR1,,,,,,,,
DEMECLOCYCLINE HYDROCHLORIDE,Feb-24,6.17E-05,0.008392041,0,0,226.9090909,2199.345383,UBE2I;ESR1,,,,,,,,
azacitidine MCF7 DOWN,4/482,6.23E-05,0.008392041,0,0,27.21338912,263.5050207,UBE2I;MRPS11;RPL37A;ESR1,,,,,,,,
CHRYSENE CTD 00001482,Feb-25,6.71E-05,0.008392041,0,0,217.0326087,2085.577517,JUN;ESR1,,,,,,,,
DEMECLOCYCLINE HYDROCHLORIDE BOSS,Feb-25,6.71E-05,0.008392041,0,0,217.0326087,2085.577517,UBE2I;ESR1,,,,,,,,
Artenimol CTD 00001819,Feb-27,7.85E-05,0.008995676,0,0,199.65,1887.299561,JUN;ESR1,,,,,,,,
dicumarol CTD 00005515,Feb-30,9.71E-05,0.010132773,0,0,178.2321429,1646.736531,JUN;ESR1,,,,,,,,
dirithromycin HL60 DOWN,4/556,1.09E-04,0.010132773,0,0,23.47584541,214.2877412,JUN;UBE2I;MRPL16;MRPL22,,,,,,,,
2-tert-Butyl-4-methoxyphenol CTD 00005547,Feb-32,1.11E-04,0.010132773,0,0,166.3333333,1515.060756,JUN;ESR1,,,,,,,,
GNF-Pf-3037 TTD 00008263,Feb-33,1.18E-04,0.010132773,0,0,160.9596774,1456.093967,UBE2I;ESR1,,,,,,,,
Tributyltin CTD 00000610,Feb-35,1.33E-04,0.010738299,0,0,151.1893939,1349.727435,JUN;ESR1,,,,,,,,
primaquine MCF7 UP,Feb-36,1.40E-04,0.010738299,0,0,146.7352941,1301.615843,JUN;RPL37A,,,,,,,,
piperine CTD 00000442,Feb-38,1.57E-04,0.011345871,0,0,138.5694444,1214.062108,JUN;ESR1,,,,,,,,
danazol HL60 DOWN,5/1233,1.71E-04,0.011383612,0,0,15.27850163,132.4875247,UBE2I;RPL37A;MRPL16;MRPL17;MRPL22,,,,,,,,
Glycitein CTD 00003084,Feb-40,1.74E-04,0.011383612,0,0,131.2631579,1136.475641,JUN;ESR1,,,,,,,,
RUTIN CTD 00006712,Feb-41,1.83E-04,0.011420373,0,0,127.8910256,1100.917922,JUN;ESR1,,,,,,,,
dieldrin CTD 00005808,Feb-45,2.20E-04,0.012180851,0,0,115.9709302,976.5813448,JUN;ESR1,,,,,,,,
clotrimazole TTD 00007242,Feb-45,2.20E-04,0.012180851,0,0,115.9709302,976.5813448,JUN;ESR1,,,,,,,,
cantharidin HL60 DOWN,3/254,2.27E-04,0.012180851,0,0,33.70347183,282.7314554,MRPS11;RPL37A;MRPL17,,,,,,,,
colchicine SKMEL5 UP,Feb-46,2.30E-04,0.012180851,0,0,113.3295455,949.3309641,JUN;RPL37A,,,,,,,,
bithionol TTD 00002475,Feb-48,2.51E-04,0.012730705,0,0,108.3913043,898.6959133,UBE2I;ESR1,,,,,,,,
bithionol CTD 00005516,Feb-49,2.61E-04,0.012730705,0,0,106.0797872,875.1382564,UBE2I;ESR1,,,,,,,,
azacyclonol HL60 DOWN,4/703,2.68E-04,0.012730705,0,0,18.39866476,151.2991881,JUN;MRPL16;MRPL17;MRPL22,,,,,,,,
clofibrate CTD 00005684,Feb-51,2.83E-04,0.012987362,0,0,101.7397959,831.1650112,JUN;ESR1,,,,,,,,
clotrimazole BOSS,Feb-53,3.06E-04,0.013576508,0,0,97.74019608,790.9491627,JUN;ESR1,,,,,,,,
endosulfan CTD 00005896,Feb-60,3.92E-04,0.016862175,0,0,85.9137931,673.8976935,JUN;ESR1,,,,,,,,
Masoprocol CTD 00006416,Feb-66,4.74E-04,0.01978377,0,0,77.8359375,595.7034787,JUN;ESR1,,,,,,,,
triclosan CTD 00006933,Feb-69,5.19E-04,0.019844858,0,0,74.33955224,562.3452141,JUN;ESR1,,,,,,,,
Benz[a]anthracene CTD 00001470,Feb-69,5.19E-04,0.019844858,0,0,74.33955224,562.3452141,JUN;ESR1,,,,,,,,
clotrimazole CTD 00005691,Feb-70,5.34E-04,0.019844858,0,0,73.24264706,551.944023,JUN;ESR1,,,,,,,,
ritonavir CTD 00007290,Feb-70,5.34E-04,0.019844858,0,0,73.24264706,551.944023,JUN;ESR1,,,,,,,,
nitrofural PC3 UP,Feb-71,5.49E-04,0.019877401,0,0,72.17753623,541.8744177,UBE2I;RPL37A,,,,,,,,
Benzo[k]fluoranthene CTD 00001069,Feb-74,5.96E-04,0.021034366,0,0,69.15972222,513.5090075,JUN;ESR1,,,,,,,,
rotenone BOSS,Feb-79,6.79E-04,0.023362654,0,0,64.6525974,471.6195625,JUN;ESR1,,,,,,,,
metformin CTD 00006282,Feb-83,7.49E-04,0.024332169,0,0,61.44753086,442.197109,JUN;ESR1,,,,,,,,
NSC94017 CTD 00005320,Feb-84,7.67E-04,0.024332169,0,0,60.69512195,435.3361021,JUN;ESR1,,,,,,,,
Spectrum 001666 CTD 00000796,Feb-86,8.04E-04,0.024332169,0,0,59.24404762,422.1551783,JUN;ESR1,,,,,,,,
clotrimazole,Feb-87,8.23E-04,0.024332169,0,0,58.54411765,415.821748,JUN;ESR1,,,,,,,,
IN1152 CTD 00001901,Feb-88,8.42E-04,0.024332169,0,0,57.86046512,409.6512094,JUN;ESR1,,,,,,,,
GW-8510 PC3 UP,Feb-88,8.42E-04,0.024332169,0,0,57.86046512,409.6512094,JUN;RPL37A,,,,,,,,
