#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ACHE,CHAT,9606.ENSP00000303211,9606.ENSP00000337103,0,0,0,0,0.064,0,0,0.925,0.927
ACO2,PDK1,9606.ENSP00000216254,9606.ENSP00000376352,0,0,0,0,0.062,0.207,0,0.309,0.441
ACO2,NDUFB8,9606.ENSP00000216254,9606.ENSP00000299166,0,0,0,0,0.107,0,0,0.505,0.539
ACO2,MRPL22,9606.ENSP00000216254,9606.ENSP00000431040,0,0,0,0,0.077,0.551,0,0.053,0.573
ACO2,MRPL17,9606.ENSP00000216254,9606.ENSP00000288937,0,0,0,0,0.112,0.551,0,0,0.584
ACO2,HADHA,9606.ENSP00000216254,9606.ENSP00000370023,0,0,0,0,0.142,0.225,0,0.5,0.639
ACO2,ALDOA,9606.ENSP00000216254,9606.ENSP00000378669,0,0,0,0,0.097,0.429,0,0.485,0.712
ACO2,MRPL16,9606.ENSP00000216254,9606.ENSP00000300151,0,0,0,0,0.064,0.727,0,0.061,0.739
ACTN1,ATP6V1E1,9606.ENSP00000377941,9606.ENSP00000253413,0,0,0,0,0,0,0,0.487,0.487
ACTN1,IQGAP1,9606.ENSP00000377941,9606.ENSP00000268182,0,0,0,0,0.134,0.248,0,0.528,0.666
ACTN1,ITGB5,9606.ENSP00000377941,9606.ENSP00000296181,0,0,0,0,0.096,0.074,0.6,0.305,0.736
ACTN1,ZYX,9606.ENSP00000377941,9606.ENSP00000324422,0,0,0,0,0.165,0.518,0.9,0.514,0.977
ACTN1,CTTN,9606.ENSP00000377941,9606.ENSP00000365745,0,0,0,0,0.085,0,0,0.455,0.481
ACTN1,ACTR2,9606.ENSP00000377941,9606.ENSP00000367220,0,0,0,0,0.064,0.16,0,0.521,0.59
ACTR2,IQGAP1,9606.ENSP00000367220,9606.ENSP00000268182,0,0,0,0,0.114,0.247,0,0.515,0.648
ACTR2,TMEM208,9606.ENSP00000367220,9606.ENSP00000305892,0,0,0,0,0.461,0,0,0,0.461
ACTR2,CTTN,9606.ENSP00000367220,9606.ENSP00000365745,0,0,0,0,0.066,0.841,0,0.815,0.97
ACTR2,ACTN1,9606.ENSP00000367220,9606.ENSP00000377941,0,0,0,0,0.064,0.16,0,0.521,0.59
ADORA1,GNAS,9606.ENSP00000356205,9606.ENSP00000360141,0,0,0,0,0.065,0.303,0,0.198,0.432
ALDOA,ACO2,9606.ENSP00000378669,9606.ENSP00000216254,0,0,0,0,0.097,0.429,0,0.485,0.712
ALDOA,PFKFB4,9606.ENSP00000378669,9606.ENSP00000232375,0.044,0,0,0,0.066,0,0,0.433,0.449
ALDOA,PDK1,9606.ENSP00000378669,9606.ENSP00000376352,0,0,0,0,0.082,0,0,0.505,0.526
ALDOA,ESR1,9606.ENSP00000378669,9606.ENSP00000405330,0,0,0,0,0,0.056,0.9,0.125,0.91
AP4S1,REEP2,9606.ENSP00000216366,9606.ENSP00000367590,0,0,0,0,0.065,0,0,0.392,0.407
